"label","plate no.","exp_no","cell","treatment","day","day_lb","measurement","value"
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","tot_isl",28.7
"C8_Sample16.fcs",NA,1,"S3T21","CTRL",10,"d10","tot_ctnt",46.6
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","dbl_neg",74.3
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","isl_pos",25.5
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","islctnt_pos",0.097
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","ctnt_pos",0.089
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","tot_isl",25.597
"C9_Sample5.fcs",NA,1,"S3T21","RA",4,"d4","tot_ctnt",0.186
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","dbl_neg",87.4
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","isl_pos",12.3
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","islctnt_pos",0.18
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","ctnt_pos",0.11
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","tot_isl",12.48
"D1_Sample17.fcs",NA,2,"S3D21","CTRL",3,"d3","tot_ctnt",0.29
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","dbl_neg",70.3
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","isl_pos",25.6
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","islctnt_pos",2.99
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","ctnt_pos",1.07
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","tot_isl",28.59
"D10_Sample10.fcs",NA,2,"S3D21","RA",6,"d6","tot_ctnt",4.06
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","dbl_neg",71.3
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","isl_pos",15.1
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","islctnt_pos",8.72
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","ctnt_pos",4.81
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","tot_isl",23.82
"D11_Sample11.fcs",NA,2,"S3D21","RA",8,"d8","tot_ctnt",13.53
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","dbl_neg",66.6
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","isl_pos",7.24
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","islctnt_pos",11.7
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","ctnt_pos",14.5
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","tot_isl",18.94
"D12_Sample12.fcs",NA,2,"S3D21","RA",10,"d10","tot_ctnt",26.2
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","dbl_neg",27.6
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","isl_pos",72.3
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","islctnt_pos",0.1
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","ctnt_pos",0.015
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","tot_isl",72.4
"D2_Sample18.fcs",NA,2,"S3D21","CTRL",4,"d4","tot_ctnt",0.115
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","dbl_neg",26.1
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","isl_pos",73.4
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","islctnt_pos",0.35
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","ctnt_pos",0.18
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","tot_isl",73.75
"D3_Sample19.fcs",NA,2,"S3D21","CTRL",5,"d5","tot_ctnt",0.53
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","dbl_neg",31.8
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","isl_pos",45.3
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","islctnt_pos",20
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","ctnt_pos",2.88
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","tot_isl",65.3
"D4_Sample20.fcs",NA,2,"S3D21","CTRL",6,"d6","tot_ctnt",22.88
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","dbl_neg",29.9
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","isl_pos",25.3
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","islctnt_pos",40.5
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","ctnt_pos",4.24
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","tot_isl",65.8
"D5_Sample21.fcs",NA,2,"S3D21","CTRL",7,"d7","tot_ctnt",44.74
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","dbl_neg",37.7
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","isl_pos",13.4
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","islctnt_pos",29.3
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","ctnt_pos",19.6
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","tot_isl",42.7
"D6_Sample22.fcs",NA,2,"S3D21","CTRL",8,"d8","tot_ctnt",48.9
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","dbl_neg",32.2
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","isl_pos",10
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","islctnt_pos",38.5
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","ctnt_pos",19.3
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","tot_isl",48.5
"D7_Sample23.fcs",NA,2,"S3D21","CTRL",9,"d9","tot_ctnt",57.8
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","dbl_neg",42
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","isl_pos",7.56
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","islctnt_pos",23.4
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","ctnt_pos",26.9
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","tot_isl",30.96
"D8_Sample24.fcs",NA,2,"S3D21","CTRL",10,"d10","tot_ctnt",50.3
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","dbl_neg",69.7
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","isl_pos",30.2
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","islctnt_pos",0.1
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","ctnt_pos",0.015
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","tot_isl",30.3
"D9_Sample9.fcs",NA,2,"S3D21","RA",4,"d4","tot_ctnt",0.115
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","dbl_neg",95.5
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","isl_pos",4.37
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","islctnt_pos",0.091
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","ctnt_pos",0.035
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","tot_isl",4.461
"E1_Sample25.fcs",NA,2,"S3T21","CTRL",3,"d3","tot_ctnt",0.126
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","dbl_neg",49.4
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","isl_pos",31.7
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","islctnt_pos",13
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","ctnt_pos",5.84
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","tot_isl",44.7
"E10_Sample14.fcs",NA,2,"S3T21","RA",6,"d6","tot_ctnt",18.84
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","dbl_neg",40.7
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","isl_pos",4.85
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","islctnt_pos",16.1
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","ctnt_pos",38.4
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","tot_isl",20.95
"E11_Sample15.fcs",NA,2,"S3T21","RA",8,"d8","tot_ctnt",54.5
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","dbl_neg",39.9
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","isl_pos",1.63
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","islctnt_pos",8.35
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","ctnt_pos",50.2
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","tot_isl",9.98
"E12_Sample16.fcs",NA,2,"S3T21","RA",10,"d10","tot_ctnt",58.55
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","dbl_neg",68.4
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","isl_pos",31.5
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","islctnt_pos",0.066
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","ctnt_pos",0.044
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","tot_isl",31.566
"E2_Sample26.fcs",NA,2,"S3T21","CTRL",4,"d4","tot_ctnt",0.11
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","dbl_neg",40
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","isl_pos",59.9
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","islctnt_pos",0.077
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","ctnt_pos",0.046
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","tot_isl",59.977
"E3_Sample27.fcs",NA,2,"S3T21","CTRL",5,"d5","tot_ctnt",0.123
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","dbl_neg",30.7
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","isl_pos",65.3
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","islctnt_pos",3.28
"E4_Sample28.fcs",NA,2,"S3T21","CTRL",6,"d6","ctnt_pos",0.71
